Date,AMZN US Equity,BNDX US Equity,DAX Index,EURUSD BGN Curncy,GS US Equity,GOOGl US Equity,TSLA US Equity,,,,,,
12/10/15,27.51,52.92,10119.83,1.1358,180.23,33.822,14.372,,,,,,
13/10/15,27.445,52.98,10032.82,1.1379,180.97,34.159,14.6167,,,,,,
14/10/15,27.242,53.11,9915.85,1.1474,179.51,34.021,14.4587,,,,,,
15/10/15,28.122,53.04,10064.8,1.1386,184.96,34.651,14.754,,,,,,
16/10/15,28.538,53.02,10104.43,1.1348,185.18,34.766,15.134,,,,,,
19/10/15,28.658,53.03,10164.31,1.1327,185.74,34.998,15.2067,,,,,,
20/10/15,28.044,52.93,10147.68,1.1346,185.51,34,14.202,,,,,,
21/10/15,27.789,53.01,10238.1,1.1339,179.7,33.59,14.006,,,,,,
22/10/15,28.196,53.19,10491.97,1.1109,183.56,34.057,14.1147,,,,,,
23/10/15,29.952,53.19,10794.54,1.1018,185.5,35.967,13.9393,,,,,,
26/10/15,30.431,53.17,10801.34,1.1058,187.01,36.556,14.3507,,,,,,
27/10/15,30.551,53.3,10692.19,1.1051,186.31,36.641,14.0233,,,,,,
28/10/15,30.855,53.29,10831.96,1.0923,191.32,36.846,14.1973,,,,,,
29/10/15,31.327,53.12,10800.84,1.0977,189.89,37.243,14.1087,,,,,,
30/10/15,31.295,53.18,10850.14,1.1006,187.5,36.87,13.7953,,,,,,
2/11/15,31.418,52.97,10950.67,1.1016,189.68,37.387,14.2527,,,,,,
3/11/15,31.265,52.93,10951.15,1.0964,190.69,37.441,13.89,,,,,,
4/11/15,32.048,52.81,10845.24,1.0866,191.65,37.765,15.442,,,,,,
5/11/15,32.783,52.86,10887.74,1.0884,192.02,38.034,15.4513,,,,,,
6/11/15,32.969,52.66,10988.03,1.0741,199.17,38.08,15.4907,,,,,,
9/11/15,32.775,52.64,10815.45,1.0752,196.76,37.739,15.022,,,,,,
10/11/15,32.984,52.76,10832.52,1.0724,197.81,37.913,14.4333,,,,,,
11/11/15,33.663,52.82,10907.87,1.0743,197.39,38.263,14.6053,,,,,,
12/11/15,33.28,52.84,10782.63,1.0814,192.77,37.826,14.196,,,,,,
13/11/15,32.118,52.94,10708.4,1.0773,190.39,37.004,13.8127,,,,,,
16/11/15,32.39,53.01,10713.23,1.0686,192.16,37.521,14.2873,,,,,,
17/11/15,32.165,53.04,10971.04,1.0642,190.57,37.299,14.2667,,,,,,
18/11/15,33.177,53.12,10959.95,1.066,193.66,38.001,14.738,,,,,,
19/11/15,33.064,53.15,11085.44,1.0734,193.03,37.997,14.7867,,,,,,
20/11/15,33.423,53.12,11119.83,1.0646,191.47,38.85,14.6673,,,,,,
23/11/15,33.95,53.11,11092.31,1.0636,189.19,38.835,14.5167,,,,,,
24/11/15,33.558,53.18,10933.99,1.0643,188.67,38.482,14.55,,,,,,
25/11/15,33.767,53.22,11169.54,1.0624,189.15,38.463,15.3093,,,,,,
27/11/15,33.663,53.25,11293.76,1.0593,190.47,38.599,15.4407,,,,,,
30/11/15,33.24,53.2,11382.23,1.0565,190.02,38.143,15.3507,,,,,,
1/12/15,33.953,53.24,11261.24,1.0633,193.07,39.189,15.8127,,,,,,
2/12/15,33.801,53.21,11190.02,1.0615,190.26,38.893,15.466,,,,,,
3/12/15,33.313,52.7,10789.24,1.094,185.2,38.41,15.514,,,,,,
4/12/15,33.632,52.7,10752.1,1.0881,189.99,38.961,15.3587,,,,,,
7/12/15,33.492,53,10886.09,1.0837,185.49,38.65,15.4087,,,,,,
8/12/15,33.867,53.03,10673.6,1.0892,182.92,38.757,15.1147,,,,,,
9/12/15,33.24,53.03,10592.49,1.1025,180.71,38.128,14.968,,,,,,
10/12/15,33.116,52.99,10598.93,1.0941,182.11,38.002,15.138,,,,,,
11/12/15,32.008,53.07,10340.06,1.0986,176.56,37.521,14.468,,,,,,
14/12/15,32.896,52.98,10139.34,1.0992,176.4,38.127,14.572,,,,,,
15/12/15,32.932,52.87,10450.38,1.0931,182.01,38.005,14.7393,,,,,,
16/12/15,33.789,52.84,10469.26,1.0912,186.21,38.83,15.634,,,,,,
17/12/15,33.533,52.92,10738.12,1.0826,182.61,38.492,15.5593,,,,,,
18/12/15,33.207,53.06,10608.19,1.0868,175.49,37.843,15.364,,,,,,
21/12/15,33.226,53.11,10497.77,1.0915,177.75,38.04,15.504,,,,,,
22/12/15,33.158,53.06,10488.75,1.0957,180.05,38.357,15.33,,,,,,
23/12/15,33.185,52.84,10727.64,1.0912,182.95,38.426,15.3133,,,,,,
28/12/15,33.76,53.02,10653.91,1.0968,181.62,39.112,15.2633,,,,,,
29/12/15,34.699,52.77,10860.14,1.092,183.53,39.698,15.8127,,,,,,
30/12/15,34.454,52.79,10743.01,1.0933,182.01,39.515,15.8727,,,,,,
4/1/16,31.85,52.99,10283.44,1.0831,177.14,37.972,14.894,,,,,,
5/1/16,31.69,52.96,10310.1,1.0748,174.09,38.076,14.8953,,,,,,
6/1/16,31.633,53.16,10214.02,1.0781,169.84,37.967,14.6027,,,,,,
7/1/16,30.397,53.08,9979.85,1.0932,164.62,37.05,14.3767,,,,,,
8/1/16,30.353,53.07,9849.34,1.0922,163.94,36.546,14.0667,,,,,,
11/1/16,30.887,53.01,9825.07,1.0859,165.73,36.654,13.8567,,,,,,
